SERIES_CONTEXT_SCHEMA_VERSION,SEASON,GAME_ID,GAME_DATE,TEAM_A_ID,TEAM_A,TEAM_B_ID,TEAM_B,TEAM_A_WON,game_number,series_score_diff,team_a_series_wins,team_b_series_wins,team_a_elimination_game,team_b_elimination_game,team_a_home,team_a_trailing_series,team_a_leading_series,previous_game_winner,previous_game_margin,team_a_recent_series_wins,team_b_recent_series_wins,team_a_road_wins_in_series,team_b_road_wins_in_series,team_a_home_losses_in_series,team_b_home_losses_in_series
2026-06-11-series-context-v1,2015-16,41500211,2016-05-03,1610612748,MIA,1610612761,TOR,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500212,2016-05-05,1610612748,MIA,1610612761,TOR,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2015-16,41500213,2016-05-07,1610612748,MIA,1610612761,TOR,0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-4.0,1.0,1.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2015-16,41500214,2016-05-09,1610612748,MIA,1610612761,TOR,1,4.0,-1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,-4.0,1.0,2.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500215,2016-05-11,1610612748,MIA,1610612761,TOR,0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500216,2016-05-13,1610612748,MIA,1610612761,TOR,1,6.0,-1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,-1.0,-8.0,1.0,2.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500217,2016-05-15,1610612748,MIA,1610612761,TOR,0,7.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500311,2016-05-16,1610612744,GSW,1610612760,OKC,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500312,2016-05-18,1610612744,GSW,1610612760,OKC,1,2.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-6.0,0.0,1.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500313,2016-05-22,1610612744,GSW,1610612760,OKC,0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,1.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500314,2016-05-24,1610612744,GSW,1610612760,OKC,0,4.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,-28.0,1.0,2.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500315,2016-05-26,1610612744,GSW,1610612760,OKC,1,5.0,-2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,-1.0,-24.0,1.0,2.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500316,2016-05-28,1610612744,GSW,1610612760,OKC,1,6.0,-1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,2.0,0.0,1.0,1.0,0.0
